product,workcenter,run_hours_per_unit,setup_hours_per_batch
TAMPER-A,CUT,1.8,1.5
TAMPER-A,MACHINE,4.2,2.5
TAMPER-A,WELD,3.5,1.0
TAMPER-A,PAINT,1.2,2.0
TAMPER-A,ASSEMBLY,6.5,0.5
TAMPER-A,TEST,2.0,0.5
TAMPER-B,CUT,2.1,1.5
TAMPER-B,MACHINE,5.6,3.0
TAMPER-B,WELD,4.2,1.0
TAMPER-B,PAINT,1.4,2.0
TAMPER-B,ASSEMBLY,8.2,0.5
TAMPER-B,TEST,2.8,0.5
GRINDER-C,CUT,1.4,1.5
GRINDER-C,MACHINE,3.8,2.0
GRINDER-C,WELD,2.6,1.0
GRINDER-C,PAINT,0.9,2.0
GRINDER-C,ASSEMBLY,5.1,0.5
GRINDER-C,TEST,1.6,0.5
REGULATOR-D,CUT,0.6,1.0
REGULATOR-D,MACHINE,1.9,1.5
REGULATOR-D,ASSEMBLY,2.4,0.5
REGULATOR-D,TEST,0.8,0.5
